4	730879.16	7471324.05
1	1.48	54.88
2	1.37	40.7
3	1.22	17.21
4	1.16	-5.2
5	1.13	-12.16
6	0.93	-15.26
7	1.03	-25.34
8	1.00	-29.55
9	1.04	-46.5
10	1.10	-46.55
11	0.80	-39.44
12	0.68	-59.34
13	0.40	-123.41
14	0.60	170.78
15	1.11	145.31
16	1.51	121.34
17	1.99	101.57
18	2.23	94.34
19	2.10	97.78
20	1.60	117.91
21	1.00	171.52
22	1.68	-150.24
23	1.93	-148.88
24	2.07	-157.73
25	1.72	-174.52
26	1.65	170.55
27	2.14	178.51
28	1.52	-168.04
29	0.95	-162.35
30	0.86	-158.52
31	0.67	-142.05
32	0.77	-123.93
33	0.99	-105.93
34	1.27	-101.79
35	1.14	-102.22
36	1.20	-107.84
37	1.37	-138.69
38	1.89	-160.49
39	2.40	-161.08
40	2.24	179.57
41	2.39	168.79
42	2.71	164.51
43	2.97	165.2
44	3.28	164.68
45	3.02	168.47
46	3.24	176.04
47	3.30	-174.81
48	3.13	-162.22
49	2.77	-155.09
50	2.32	-150.61
51	2.03	-147.21
52	1.96	-148.15
53	1.94	-145.09
54	1.89	-136.58
55	1.86	-126.67
56	1.92	-116.14
57	1.55	-112.67
58	1.16	-117.24
59	1.43	-106.38
60	1.30	-82.7
61	0.93	-54.19
62	1.30	-57.44
63	1.70	-61.49
64	1.76	-52.82
65	1.86	-40.83
66	1.82	-20.57
67	1.61	-3
68	0.78	20.28
69	0.12	31.84
70	0.97	-127.29
71	1.62	-116.13
72	2.02	-109.67
73	2.16	-104.5
74	2.35	-102.96
75	2.43	-101.12
76	2.37	-98.97
77	2.24	-97.35
78	2.19	-96.54
79	1.80	-89.77
80	1.68	-74.83
81	2.15	-80.48
82	2.55	-85.59
83	2.44	-90.87
84	2.12	-90.85
85	1.60	-87.75
86	1.34	-83.64
87	1.11	-83.62
88	0.86	-85.69
89	0.54	-94.04
90	0.49	-127.72
91	0.77	-144.89
92	0.91	-139.4
93	1.16	-135.58
94	1.63	-118.97
95	1.54	-106.29
96	1.79	-95.72
97	1.76	-93.87
98	1.78	-96.71
99	1.61	-92.72
100	1.50	-87.36
101	1.39	-85.88
102	1.40	-93.08
103	1.30	-98.63
104	1.20	-110.78
105	1.18	-110.85
106	1.19	-111.54
107	1.27	-128.99
108	1.36	-114.48
109	1.04	-113.13
110	0.89	-128
111	0.93	-137.96
112	1.00	-152.9
113	1.04	-164.7
114	1.25	-177.01
115	1.51	176.18
116	1.59	178.48
117	1.49	-169.98
118	1.62	-171
119	1.43	-142.96
120	1.60	-132.12
121	1.52	-128.02
122	1.69	-125.95
123	1.53	-112.8
124	1.38	-95.98
125	0.96	-80.63
126	0.81	-80.27
127	0.85	-75.23
128	1.28	-89.95
129	1.51	-88.44
130	1.10	-61.19
131	2.14	17.11
132	3.66	18.33
133	5.17	28.09
134	4.96	25.15
135	4.59	26.5
136	4.45	31.64
137	4.44	37.07
138	4.31	40.19
139	4.22	42.48
140	4.00	42.5
141	3.21	40.5
142	2.34	33.95
143	1.39	10.23
144	1.04	-28.52
145	1.23	-40.82
146	1.34	-45.1
147	1.37	-48.61
148	1.13	-47.9
149	1.06	-53.17
150	1.08	-57.57
151	1.09	-60.38
152	1.11	-72.84
153	1.18	-90.86
154	1.20	-104.94
155	1.10	-120.14
156	1.45	-125.09
157	1.22	-140.09
158	1.27	-148.31
159	1.05	-162.84
160	1.06	169.9
161	1.25	153.32
162	1.63	143.33
163	2.00	134.44
164	2.10	137.4
165	1.66	149.48
166	1.71	162.38
167	1.41	-156.45
168	1.24	-139.73
169	0.58	-45.71
170	1.85	20.49
171	2.61	27.15
172	2.85	23.75
173	2.94	21.74
174	2.58	21.64
175	2.47	23.87
176	2.51	22.03
177	2.76	22.66
178	3.44	29.44
179	3.70	36.41
180	4.02	38.27
181	4.01	35.17
182	4.12	34.63
183	3.90	33.97
184	3.72	33.35
185	3.74	34.83
186	3.53	37.15
187	3.51	37.55
188	3.37	38.39
189	3.07	36.98
190	2.37	35.68
191	2.08	23.82
192	1.85	15.13
193	1.73	4.81
194	1.67	-10.19
195	1.42	-23.4
196	1.21	-19.99
197	1.31	-7.78
198	1.69	6.31
199	1.55	7.24
200	1.58	-0.99
201	1.58	-9.33
202	1.55	-22.56
203	1.75	-12.73
204	2.33	0.68
205	2.73	15.57
206	2.62	31.98
207	2.45	47.91
208	2.30	64.54
209	2.39	75.04
210	2.77	75.43
211	3.08	78.13
212	2.85	85.94
213	2.74	80.22
214	2.96	73.13
215	3.29	47.2
216	3.00	39.45
217	2.65	33.49
218	2.34	25.63
219	1.48	12.73
220	0.72	-23.71
221	0.71	-83.44
222	0.68	-119.22
223	0.56	-152.56
224	0.09	102.35
225	0.72	32.33
226	0.85	36.83
