58	3636	3618	3616	3538	3536	2898	2900	2902	2904	2906	2965	2895	2893	2826	2824	2428	2426	2432	2493	2491	2495	2831	2834	2836	2838	2855	1925	1923	1921	1919	1915	1866	1864	1238	1236	1234	1207	1204	766	765	762	759	760	254	251	249	248	244	1149	1151	1147	1042	1040	1532	1531	1583	1585	1644
0	-7.08661E-05	-7.08661E-05	-7.08661E-05	-7.08661E-05	-7.08661E-05	-0.000548416	-0.000548416	-0.000548416	-0.000548416	-0.000548416	-0.000405315	-0.000405315	-0.000405315	-0.000405315	-0.000405315	-0.006052344	-0.006052344	-0.006052344	-0.003641248	-0.003641248	-0.003641248	-0.000440531	-0.000440531	-0.000440531	-0.000440531	-0.000440531	-0.000443293	-0.000443293	-0.000443293	-0.000443293	-0.000443293	-0.000443293	-0.000443293	-0.000377421	-0.000377421	-0.000377421	-0.000377421	-0.000377421	-0.000497637	-0.000497637	-0.000497637	-0.000497637	-0.000497637	-0.00077891	-0.00077891	-0.00077891	-0.00077891	-0.00077891	-0.000759108	-0.000759108	-0.000759108	-0.000759108	-0.000759108	-0.000617756	-0.000617756	-0.000617756	-0.000617756	-0.000617756
1116	-4.82323E-05	-4.82323E-05	-4.82323E-05	-4.82323E-05	-4.82323E-05	-0.000373259	-0.000373259	-0.000373259	-0.000373259	-0.000373259	-0.000275862	-0.000275862	-0.000275862	-0.000275862	-0.000275862	-0.004119297	-0.004119297	-0.004119297	-0.002478276	-0.002478276	-0.002478276	-0.000299831	-0.000299831	-0.000299831	-0.000299831	-0.000299831	-0.00030171	-0.00030171	-0.00030171	-0.00030171	-0.00030171	-0.00030171	-0.00030171	-0.000256878	-0.000256878	-0.000256878	-0.000256878	-0.000256878	-0.000338698	-0.000338698	-0.000338698	-0.000338698	-0.000338698	-0.000530136	-0.000530136	-0.000530136	-0.000530136	-0.000530136	-0.000516658	-0.000516658	-0.000516658	-0.000516658	-0.000516658	-0.000420452	-0.000420452	-0.000420452	-0.000420452	-0.000420452
2232	-5.18239E-05	-5.18239E-05	-5.18239E-05	-5.18239E-05	-5.18239E-05	-0.000401054	-0.000401054	-0.000401054	-0.000401054	-0.000401054	-0.000296405	-0.000296405	-0.000296405	-0.000296405	-0.000296405	-0.004426041	-0.004426041	-0.004426041	-0.002662822	-0.002662822	-0.002662822	-0.000322158	-0.000322158	-0.000322158	-0.000322158	-0.000322158	-0.000324177	-0.000324177	-0.000324177	-0.000324177	-0.000324177	-0.000324177	-0.000324177	-0.000276006	-0.000276006	-0.000276006	-0.000276006	-0.000276006	-0.000363919	-0.000363919	-0.000363919	-0.000363919	-0.000363919	-0.000569612	-0.000569612	-0.000569612	-0.000569612	-0.000569612	-0.000555131	-0.000555131	-0.000555131	-0.000555131	-0.000555131	-0.000451761	-0.000451761	-0.000451761	-0.000451761	-0.000451761
3348	-5.54155E-05	-5.54155E-05	-5.54155E-05	-5.54155E-05	-5.54155E-05	-0.000428848	-0.000428848	-0.000428848	-0.000428848	-0.000428848	-0.000316947	-0.000316947	-0.000316947	-0.000316947	-0.000316947	-0.004732786	-0.004732786	-0.004732786	-0.002847367	-0.002847367	-0.002847367	-0.000344485	-0.000344485	-0.000344485	-0.000344485	-0.000344485	-0.000346644	-0.000346644	-0.000346644	-0.000346644	-0.000346644	-0.000346644	-0.000346644	-0.000295134	-0.000295134	-0.000295134	-0.000295134	-0.000295134	-0.00038914	-0.00038914	-0.00038914	-0.00038914	-0.00038914	-0.000609089	-0.000609089	-0.000609089	-0.000609089	-0.000609089	-0.000593604	-0.000593604	-0.000593604	-0.000593604	-0.000593604	-0.000483071	-0.000483071	-0.000483071	-0.000483071	-0.000483071
4464	-5.5729E-05	-5.5729E-05	-5.5729E-05	-5.5729E-05	-5.5729E-05	-0.000431274	-0.000431274	-0.000431274	-0.000431274	-0.000431274	-0.00031874	-0.00031874	-0.00031874	-0.00031874	-0.00031874	-0.004759556	-0.004759556	-0.004759556	-0.002863473	-0.002863473	-0.002863473	-0.000346433	-0.000346433	-0.000346433	-0.000346433	-0.000346433	-0.000348605	-0.000348605	-0.000348605	-0.000348605	-0.000348605	-0.000348605	-0.000348605	-0.000296804	-0.000296804	-0.000296804	-0.000296804	-0.000296804	-0.000391341	-0.000391341	-0.000391341	-0.000391341	-0.000391341	-0.000612534	-0.000612534	-0.000612534	-0.000612534	-0.000612534	-0.000596961	-0.000596961	-0.000596961	-0.000596961	-0.000596961	-0.000485803	-0.000485803	-0.000485803	-0.000485803	-0.000485803
5580	-5.27643E-05	-5.27643E-05	-5.27643E-05	-5.27643E-05	-5.27643E-05	-0.000408331	-0.000408331	-0.000408331	-0.000408331	-0.000408331	-0.000301783	-0.000301783	-0.000301783	-0.000301783	-0.000301783	-0.004506353	-0.004506353	-0.004506353	-0.002711139	-0.002711139	-0.002711139	-0.000328003	-0.000328003	-0.000328003	-0.000328003	-0.000328003	-0.000330059	-0.000330059	-0.000330059	-0.000330059	-0.000330059	-0.000330059	-0.000330059	-0.000281014	-0.000281014	-0.000281014	-0.000281014	-0.000281014	-0.000370522	-0.000370522	-0.000370522	-0.000370522	-0.000370522	-0.000579948	-0.000579948	-0.000579948	-0.000579948	-0.000579948	-0.000565204	-0.000565204	-0.000565204	-0.000565204	-0.000565204	-0.000459959	-0.000459959	-0.000459959	-0.000459959	-0.000459959
6696	-5.30777E-05	-5.30777E-05	-5.30777E-05	-5.30777E-05	-5.30777E-05	-0.000410756	-0.000410756	-0.000410756	-0.000410756	-0.000410756	-0.000303576	-0.000303576	-0.000303576	-0.000303576	-0.000303576	-0.004533123	-0.004533123	-0.004533123	-0.002727245	-0.002727245	-0.002727245	-0.000329952	-0.000329952	-0.000329952	-0.000329952	-0.000329952	-0.00033202	-0.00033202	-0.00033202	-0.00033202	-0.00033202	-0.00033202	-0.00033202	-0.000282684	-0.000282684	-0.000282684	-0.000282684	-0.000282684	-0.000372723	-0.000372723	-0.000372723	-0.000372723	-0.000372723	-0.000583393	-0.000583393	-0.000583393	-0.000583393	-0.000583393	-0.000568561	-0.000568561	-0.000568561	-0.000568561	-0.000568561	-0.000462691	-0.000462691	-0.000462691	-0.000462691	-0.000462691
7812	-3.37408E-05	-3.37408E-05	-3.37408E-05	-3.37408E-05	-3.37408E-05	-0.000261112	-0.000261112	-0.000261112	-0.000261112	-0.000261112	-0.000192979	-0.000192979	-0.000192979	-0.000192979	-0.000192979	-0.002881644	-0.002881644	-0.002881644	-0.001733672	-0.001733672	-0.001733672	-0.000209746	-0.000209746	-0.000209746	-0.000209746	-0.000209746	-0.000211061	-0.000211061	-0.000211061	-0.000211061	-0.000211061	-0.000211061	-0.000211061	-0.000179698	-0.000179698	-0.000179698	-0.000179698	-0.000179698	-0.000236935	-0.000236935	-0.000236935	-0.000236935	-0.000236935	-0.000370855	-0.000370855	-0.000370855	-0.000370855	-0.000370855	-0.000361426	-0.000361426	-0.000361426	-0.000361426	-0.000361426	-0.000294126	-0.000294126	-0.000294126	-0.000294126	-0.000294126
8928	-1.18589E-05	-1.18589E-05	-1.18589E-05	-1.18589E-05	-1.18589E-05	-9.17733E-05	-9.17733E-05	-9.17733E-05	-9.17733E-05	-9.17733E-05	-6.78265E-05	-6.78265E-05	-6.78265E-05	-6.78265E-05	-6.78265E-05	-0.001012814	-0.001012814	-0.001012814	-0.000609335	-0.000609335	-0.000609335	-7.37196E-05	-7.37196E-05	-7.37196E-05	-7.37196E-05	-7.37196E-05	-7.41817E-05	-7.41817E-05	-7.41817E-05	-7.41817E-05	-7.41817E-05	-7.41817E-05	-7.41817E-05	-6.31586E-05	-6.31586E-05	-6.31586E-05	-6.31586E-05	-6.31586E-05	-8.32758E-05	-8.32758E-05	-8.32758E-05	-8.32758E-05	-8.32758E-05	-0.000130345	-0.000130345	-0.000130345	-0.000130345	-0.000130345	0.000127031	0.000127031	0.000127031	0.000127031	0.000127031	-0.000103377	-0.000103377	-0.000103377	-0.000103377	-0.000103377
10044	-9.02217E-05	-9.02217E-05	-9.02217E-05	-9.02217E-05	-9.02217E-05	-0.000698205	-0.000698205	-0.000698205	-0.000698205	-0.000698205	-0.000516019	-0.000516019	-0.000516019	-0.000516019	-0.000516019	-0.007705417	-0.007705417	-0.007705417	-0.004635779	-0.004635779	-0.004635779	-0.000560853	-0.000560853	-0.000560853	-0.000560853	-0.000560853	-0.000564369	-0.000564369	-0.000564369	-0.000564369	-0.000564369	-0.000564369	-0.000564369	-0.000480506	-0.000480506	-0.000480506	-0.000480506	-0.000480506	-0.000633557	-0.000633557	-0.000633557	-0.000633557	-0.000633557	-0.000991654	-0.000991654	-0.000991654	-0.000991654	-0.000991654	-0.000966442	-0.000966442	-0.000966442	-0.000966442	-0.000966442	-0.000786484	-0.000786484	-0.000786484	-0.000786484	-0.000786484
11160	-0.000188253	-0.000188253	-0.000188253	-0.000188253	-0.000188253	-0.001456851	-0.001456851	-0.001456851	-0.001456851	-0.001456851	-0.001076708	-0.001076708	-0.001076708	-0.001076708	-0.001076708	-0.016077863	-0.016077863	-0.016077863	-0.009672861	-0.009672861	-0.009672861	-0.001170258	-0.001170258	-0.001170258	-0.001170258	-0.001170258	-0.001177593	-0.001177593	-0.001177593	-0.001177593	-0.001177593	-0.001177593	-0.001177593	-0.001002608	-0.001002608	-0.001002608	-0.001002608	-0.001002608	-0.001321958	-0.001321958	-0.001321958	-0.001321958	-0.001321958	-0.002069151	-0.002069151	-0.002069151	-0.002069151	-0.002069151	-0.002016546	-0.002016546	-0.002016546	-0.002016546	-0.002016546	-0.001641051	-0.001641051	-0.001641051	-0.001641051	-0.001641051
12276	-0.000312511	-0.000312511	-0.000312511	-0.000312511	-0.000312511	-0.00241845	-0.00241845	-0.00241845	-0.00241845	-0.00241845	-0.001787391	-0.001787391	-0.001787391	-0.001787391	-0.001787391	-0.026690101	-0.026690101	-0.026690101	-0.016057459	-0.016057459	-0.016057459	-0.001942689	-0.001942689	-0.001942689	-0.001942689	-0.001942689	-0.001954867	-0.001954867	-0.001954867	-0.001954867	-0.001954867	-0.001954867	-0.001954867	-0.001664383	-0.001664383	-0.001664383	-0.001664383	-0.001664383	-0.002194519	-0.002194519	-0.002194519	-0.002194519	-0.002194519	-0.0034349	-0.0034349	-0.0034349	-0.0034349	-0.0034349	-0.003347572	-0.003347572	-0.003347572	-0.003347572	-0.003347572	-0.002724231	-0.002724231	-0.002724231	-0.002724231	-0.002724231
13392	-0.000443324	-0.000443324	-0.000443324	-0.000443324	-0.000443324	-0.003430787	-0.003430787	-0.003430787	-0.003430787	-0.003430787	-0.002535574	-0.002535574	-0.002535574	-0.002535574	-0.002535574	-0.037862286	-0.037862286	-0.037862286	-0.022778936	-0.022778936	-0.022778936	-0.002755878	-0.002755878	-0.002755878	-0.002755878	-0.002755878	-0.002773153	-0.002773153	-0.002773153	-0.002773153	-0.002773153	-0.002773153	-0.002773153	-0.002361075	-0.002361075	-0.002361075	-0.002361075	-0.002361075	-0.003113121	-0.003113121	-0.003113121	-0.003113121	-0.003113121	-0.004872712	-0.004872712	-0.004872712	-0.004872712	-0.004872712	-0.004748829	-0.004748829	-0.004748829	-0.004748829	-0.004748829	-0.003864564	-0.003864564	-0.003864564	-0.003864564	-0.003864564
