x	y	z
736321.05	7459248.2	2.3659
736294.1766	7459111.446	3.8729
736285.705	7459079.64	3.9945
736258.203	7459047.32	4.2366
736293.3963	7459046.91	3.9725
736227.0045	7459017.9	4.566
736207.9605	7458984.423	4.7612
736188.9165	7458950.945	4.9474
736155.0333	7458911.485	5.4993
736121.15	7458872.025	6.1107
736080.6365	7458780.67	7.129
736100.8933	7458826.348	6.5854
736047.852	7458731.47	7.8449
736015.0675	7458682.27	8.5715
736294.583	7459229.42	2.6235
736320.1	7459232.2	2.4132
736302.266	7459201.308	2.8387
736331.55	7459209.8	2.5158
736302.6482	7459143.252	3.6286
736309.949	7459173.195	3.2217
736326.8102	7459159.723	3.4615
736324.0087	7459100.787	3.8449
736319.619	7459074.06	3.8341
736328.5895	7459046.5	3.6572
736116.282	7458719.51	8.0152
736081.917	7458671.51	8.7739
736328.3985	7459127.514	3.7511
736343.6714	7459146.251	3.61
736264.615	7459009.42	4.239
736301.0875	7459014.18	3.8751
736251.7955	7458974.645	4.3666
736337.56	7459018.94	3.4027
736203.2385	7458899.21	5.141
736238.976	7458939.87	4.5114
736167.501	7458858.55	5.9344
736159.074	7458813.03	6.5127
736150.647	7458767.51	7.1751
736343	7459187.4	2.8104
736350.9722	7459176.194	3.0782
736358.9444	7459164.987	3.346
736347.2478	7459096.488	3.776
736370.487	7459092.189	3.6259
736344.8965	7459076.169	3.702
736370.1739	7459078.277	3.5271
736361.9632	7459052.869	3.3553
736395.337	7459059.239	3.1771
736149.354	7458673.44	8.8011
736349.5992	7459116.807	3.7548
736370.8	7459106.1	3.7041
736360.4109	7459137.422	3.6601
736377.1504	7459128.593	3.672
736297.271	7458982.523	3.9398
736379.03	7459029.57	3.0077
736342.7465	7458990.4	3.2537
736420.5	7459040.2	2.9437
736390.3733	7459005.825	2.7949
736438	7459021.25	2.7201
736293.4545	7458950.865	3.9218
736257.1285	7458902.07	4.6158
736306.8315	7458916.54	3.7594
736221.391	7458861.41	5.4987
736221.7998	7458819.835	6.1314
736222.2085	7458778.26	6.8274
736183.719	7458721.44	7.9346
736216.791	7458675.37	8.8007
736252.3138	7458734.64	7.6065
736282.419	7458691.02	8.5314
736366.0606	7459202.191	2.6243
736357.2207	7459210.215	2.4553
736371.2226	7459158.037	3.4197
736374.9005	7459194.167	2.7934
736383.5009	7459151.086	3.4935
736385.52	7459187.713	2.8733
736396.1396	7459181.258	2.9532
736347.933	7458961.86	3.1196
736401.7165	7458982.08	2.6805
736356.5345	7458931.01	3.016
736455.5	7459002.3	2.629
736275.281	7458864.27	4.9292
736320.2085	7458882.215	3.9106
736284.5255	7458826.64	5.5326
736365.136	7458900.16	3.108
736293.77	7458789.01	6.2693
736320.9085	7458747.84	7.1398
736348.047	7458706.67	8.067
736381.149	7459228.189	2.1704
736371.4414	7459233.03	2.1001
736390.8566	7459223.348	2.2407
736399.8174	7459217.389	2.3268
736408.7783	7459211.431	2.4129
736402.7423	7458953.705	2.6524
736448.95	7458976.4	2.5917
736335.7118	7458846.975	4.4809
736403.768	7458925.33	2.6744
736386.898	7458867.31	3.4922
736442.4	7458950.5	2.572
736428.799	7458898.655	2.7158
736470.7	7458930	2.5876
736351.215	7458811.735	5.2529
736379.8525	7458774.128	6.1582
736408.49	7458736.52	7.2892
736393.4702	7459256.678	2.0847
736383.0158	7459261.333	2.0501
736403.9245	7459252.023	2.1194
736413.072	7459246.251	2.1629
736422.2196	7459240.478	2.2064
736408.66	7458834.46	4.185
736453.83	7458871.98	3.127
736438.7965	7458800.415	5.0478
736499	7458909.5	2.6411
736468.933	7458766.37	6.4121
736405.7913	7459285.167	1.9991
736394.5903	7459289.636	2
736416.9924	7459280.698	1.9981
736426.3266	7459275.112	1.9991
736435.6609	7459269.526	2
736534.05	7458883.9	2.8102
736519.0165	7458812.335	4.2491
736569.1	7458858.3	3.18
736486.4233	7458842.158	3.6397
736420.779	7459324.201	1.9995
736410.0041	7459328.229	2
736431.5538	7459320.173	1.9991
736441.9817	7459315.831	1.9995
736452.4096	7459311.489	2
736435.7666	7459363.235	2
736425.4179	7459366.821	2
736446.1152	7459359.649	2
736457.6368	7459356.55	2
736469.1584	7459353.451	2
736445.0406	7459404.019	1.9993
736435.1409	7459404.443	2
736454.9403	7459403.594	1.9986
736466.5335	7459402.734	1.9993
736478.1267	7459401.874	2
736454.3147	7459444.802	1.9986
736444.8639	7459442.066	2
736463.7655	7459447.539	1.9971
736475.4303	7459448.918	1.9986
736487.0951	7459450.297	2
736448.0603	7459489.362	1.9494
736438.8579	7459484.675	1.95
736457.2627	7459494.049	1.9487
736467.7227	7459497.816	1.9494
736478.1827	7459501.583	1.95
736441.8059	7459533.922	1.9001
736432.8519	7459527.285	1.9
736450.76	7459540.559	1.9003
736460.0151	7459546.713	1.9001
736469.2703	7459552.868	1.9
736422.9046	7459559.378	1.8512
736415.5921	7459552.371	1.85
736430.2172	7459566.385	1.8524
736438.5433	7459572.906	1.8512
736446.8694	7459579.426	1.85
736404.0033	7459584.834	1.8023
736398.3322	7459577.456	1.8
736409.6744	7459592.212	1.8045
736417.0715	7459599.098	1.8023
736424.4685	7459605.984	1.8
736372.2707	7459604.997	1.7521
736368.0043	7459596.638	1.75
736376.5372	7459613.356	1.7541
736382.5034	7459620.86	1.7521
736388.4695	7459628.364	1.75
736340.5382	7459625.161	1.7019
736337.6763	7459615.821	1.7
736343.4	7459634.5	1.7037
736347.9352	7459642.622	1.7019
736352.4705	7459650.744	1.7
736299.9536	7459634.544	1.6517
736297.7322	7459625.413	1.65
736302.175	7459643.675	1.6535
736305.1315	7459651.882	1.6517
736308.0881	7459660.089	1.65
736259.369	7459643.927	1.6016
736257.7881	7459635.004	1.6
736260.95	7459652.85	1.6033
736262.3279	7459661.142	1.6016
736263.7057	7459669.435	1.6
736211.7095	7459653.039	1.5516
736210.844	7459644.802	1.55
736212.575	7459661.275	1.5533
736213.3389	7459669.196	1.5516
736214.1029	7459677.117	1.55
736164.05	7459662.15	1.5016
736163.9	7459654.6	1.5
736164.2	7459669.7	1.5033
736164.35	7459677.25	1.5016
736164.5	7459684.8	1.5
736111.875	7459672.675	1.4515
736111.45	7459665.25	1.45
736112.3	7459680.1	1.453
736112.725	7459687.525	1.4515
736113.15	7459694.95	1.45
736059.7	7459683.2	1.4014
736059	7459675.9	1.4
736060.4	7459690.5	1.4027
736061.1	7459697.8	1.4014
736061.8	7459705.1	1.4
736017.9625	7459697.888	1.376
736016.5	7459690.5	1.375
736019.425	7459705.275	1.3771
736020.8875	7459712.663	1.376
736022.35	7459720.05	1.375
735976.225	7459712.575	1.3507
735974	7459705.1	1.35
735978.45	7459720.05	1.3514
735980.675	7459727.525	1.3507
735982.9	7459735	1.35
735940.75	7459738.375	1.3504
735937.45	7459730.35	1.35
735944.05	7459746.4	1.3507
735947.35	7459754.425	1.3504
735950.65	7459762.45	1.35
735905.275	7459764.175	1.35
735900.9	7459755.6	1.35
735909.65	7459772.75	1.35
735914.025	7459781.325	1.35
735918.4	7459789.9	1.35
735874.325	7459808.2	1.35
